recommender,factors,alpha,interactions,regularization,MAP
ImplicitALSRecommender,302,16,77,0.001,0.002825224735525727
ImplicitALSRecommender,773,9,82,0.001,0.002576256652855132
ImplicitALSRecommender,464,11,27,0.001,0.0027724466428789367
ImplicitALSRecommender,256,4,60,0.001,0.0035380095332919223
ImplicitALSRecommender,253,4,11,0.001,0.003354779301313431
ImplicitALSRecommender,177,22,14,0.001,0.0023465278355690694
ImplicitALSRecommender,247,4,21,0.001,0.0035203039032018694
ImplicitALSRecommender,253,5,10,0.001,0.003217886825706791
ImplicitALSRecommender,194,14,21,0.001,0.002825676611262578
ImplicitALSRecommender,131,8,13,0.001,0.003198472858214138
ImplicitALSRecommender,210,4,19,0.001,0.003592824803320071
ImplicitALSRecommender,214,14,20,0.001,0.0027559642066679584
ImplicitALSRecommender,117,8,23,0.001,0.0033705836953583624
ImplicitALSRecommender,279,4,28,0.001,0.003447856096827634
ImplicitALSRecommender,280,12,26,0.001,0.002822954736216936
ImplicitALSRecommender,162,18,29,0.001,0.0026280250381539062
ImplicitALSRecommender,203,4,33,0.001,0.003640833529019786
ImplicitALSRecommender,205,4,33,0.001,0.003650227131724892
ImplicitALSRecommender,209,78,33,0.001,0.0018917595971211024
ImplicitALSRecommender,182,8,15,0.001,0.003128816853478055
ImplicitALSRecommender,238,3,24,0.001,0.0036278528067386667
ImplicitALSRecommender,223,3,24,0.001,0.003697741248369407
ImplicitALSRecommender,157,91,25,0.001,0.0015492324402096916
ImplicitALSRecommender,232,12,33,0.001,0.0029242453400901446
ImplicitALSRecommender,194,7,17,0.001,0.0032356284024834168
ImplicitALSRecommender,113,67,60,0.001,0.0018586101009885356
ImplicitALSRecommender,242,3,20,0.001,0.0036512595997638974
ImplicitALSRecommender,218,3,23,0.001,0.0036873122775322015
ImplicitALSRecommender,211,3,24,0.001,0.0037794152207208808
ImplicitALSRecommender,153,10,24,0.001,0.003114028656193915
ImplicitALSRecommender,221,3,20,0.001,0.003688534903298507
ImplicitALSRecommender,185,7,30,0.001,0.0033389652281151628
ImplicitALSRecommender,228,3,16,0.001,0.0036398967591768083
ImplicitALSRecommender,139,16,16,0.001,0.0026212539874558662
ImplicitALSRecommender,223,1,13,0.001,0.0036438234244516882
ImplicitALSRecommender,171,9,13,0.001,0.0030002008317451877
ImplicitALSRecommender,204,2,20,0.001,0.0038163946222140566
ImplicitALSRecommender,215,1,19,0.001,0.003654683211372699
ImplicitALSRecommender,209,1,19,0.001,0.003664370093135236
ImplicitALSRecommender,187,6,19,0.001,0.00346696791949176
ImplicitALSRecommender,269,1,22,0.001,0.0035658719989432133
ImplicitALSRecommender,152,13,26,0.001,0.002972208673514763
ImplicitALSRecommender,203,7,21,0.001,0.003263729723292662
ImplicitALSRecommender,242,10,18,0.001,0.002890050974106967
ImplicitALSRecommender,172,3,28,0.001,0.0038625322626242927
